word,ahpa,disc
overwhelm,ov3wElm,5v@wElm
evoke,Ivok,Iv5k
thrill,TrIl,TrIl
congratulate,k@ngr{JUlet,k@ngr{JUl1t
dwindle,dwInd@l,dwIndP
click,klIk,klIk
nag,n{g,n{g
bathe,beD,b1D
loosen,lus@n,lusH
alert,@l3t,@l3t
daze,dez,d1z
gesture,_EsJ3,_EsJ@R
regulate,rEgjUlet,rEgjUl1t
experiment,IksperIm@nt,IkspErIm@nt
edit,EdIt,EdIt
classify,kl{sIf2,kl{sIf2
beam,bim,bim
embody,Imbadi,ImbQdI
pound,p6nd,p6nd
puff,pVf,pVf
comb,kom,k5m
water,wQt3,w$t@R
erode,irod,Ir5d
fell,fEl,fEl
clothe,kloD,kl5D
filter,fIlt3,fIlt@R
bully,bUli,bUlI
unify,junIf2,junIf2
hiss,hIs,hIs
cherish,JerIS,JErIS
glisten,glIs@n,glIsH
assault,@sQlt,@s$lt
huddle,hVd@l,hVdP
simmer,sIm3,sIm@R
tidy,t2di,t2dI
hasten,hes@n,h1sH
stifle,st2f@l,st2fP
blind,bl2nd,bl2nd
fumble,fVmb@l,fVmbP
fool,ful,ful
mobilize,mob@l2z,m5bIl2z
decay,dIke,dIk1
pad,p{d,p{d
sterilize,ster@l2z,stEr@l2z
tangle,t{Ng@l,t{NgP
film,fIlm,fIlm
revise,rIv2z,rIv2z
hop,hap,hQp
lurk,l3k,l3k
stock,stak,stQk
season,siz@n,sizH
dread,drEd,drEd
master,m{st3,m#st@R
shelter,SElt3,SElt@R
probe,prob,pr5b
wither,wID3,wID@R
escort,Iskort,Isk$t
flare,fler,fl8R
paralyse,per@l2z,p{r@l2z
supervise,sup3v2z,sup@v2z
transcend,tr{nsEnd,tr{nsEnd
nurse,n3s,n3s
dust,dVst,dVst
bruise,bruz,bruz
hunch,hVnJ,hVnJ
lash,l{S,l{S
trim,trIm,trIm
evaluate,Iv{ljuet,Iv{ljU1t
grumble,grVmb@l,grVmbP
digest,dI_Est,dI_Est
alienate,eli@net,1lj@n1t
pluck,plVk,plVk
seduce,sIdus,sIdjus
age,e_,1_
mend,mEnd,mEnd
dart,dart,d#t
sag,s{g,s{g
sting,stIN,stIN
unite,jun2t,NA
commission,k@mIS@n,k@mISH
arch,arJ,#J
stalk,stQk,st$k
boost,bust,bust
centralize,sEntr@l2z,sEntr@l2z
wade,wed,w1d
mature,m@tSur,m@tj9R
screen,skrin,skrin
symbolize,sImb@l2z,sImb@l2z
devour,dIv63,dIv6@R
droop,drup,drup
plot,plat,plQt
blend,blEnd,blEnd
rinse,rIns,rIns
shop,Sap,SQp
couple,kVp@l,kVpP
position,p@zIS@n,p@zISH
summarize,sVm@r2z,sVm@r2z
black,bl{k,bl{k
torment,tormEnt,t$mEnt
harass,h3{s,h{r@s
creak,krik,krik
endanger,Inden_3,Ind1n_@R
post,post,p5st
beckon,bEk@n,bEk@n
dial,d2@l,d2@l
invoke,Invok,Inv5k
storm,storm,st$m
disrupt,dIsrVpt,dIsrVpt
slope,slop,sl5p
clarify,klerIf2,kl{rIf2
shorten,Sort@n,S$tH
pierce,pirs,p7s
wink,wINk,wINk
dye,d2,d2
silence,s2l@ns,s2l@ns
trample,tr{mp@l,tr{mpP
lessen,lEs@n,lEsH
swarm,sworm,sw$m
pioneer,p2@nir,p2@n7R
stab,st{b,st{b
clamber,kl{mb3,kl{mb@R
bob,bab,bQb
wrestle,rEs@l,rEsP
maximize,m{ksIm2z,m{ksIm2z
volunteer,val@ntir,vQl@nt7R
authorize,QT@r2z,$T@r2z
soil,s4l,s4l
tire,t23,t2@R
comprehend,kamprIhEnd,kQmprIhEnd
avert,@v3t,@v3t
mould,mold,m5ld
anger,{Ng3,{Ng@R
deepen,dip@n,dip@n
muffle,mVf@l,mVfP
skim,skIm,skIm
trickle,trIk@l,trIkP
interest,Intr@st,Intr@st
crop,krap,krQp
chant,J{nt,J#nt
protrude,pr@trud,pr@trud
grade,gred,gr1d
mess,mEs,mEs
evade,Ived,Iv1d
buzz,bVz,bVz
wriggle,rIg@l,rIgP
crowd,kr6d,kr6d
yawn,jQn,j$n
complicate,kampl@ket,kQmplIk1t
scare,sker,sk8R
litter,lIt3,lIt@R
prohibit,prohIb@t,pr@hIbIt
stoop,stup,stup
demolish,dImalIS,dImQlIS
drape,drep,dr1p
enrich,InrIJ,InrIJ
lodge,la_,lQ_
deteriorate,dItiri@ret,dIt7r7r1t
utilize,jut@l2z,jut@l2z
violate,v2@let,v2@l1t
contradict,kantr@dIkt,kQntr@dIkt
thrash,Tr{S,Tr{S
baffle,b{f@l,b{fP
nourish,n3IS,nVrIS
roam,rom,r5m
flower,fl63,fl6@R
publicize,pVbl@s2z,pVblIs2z
down,d6n,d6n
blaze,blez,bl1z
rebel,rIbEl,rIbEl
writhe,r2D,r2D
soothe,suD,suD
mate,met,m1t
designate,dEzIgnet,dEzIgn1t
raid,red,r1d
hail,hel,h1l
sever,sEv3,sEv@R
simplify,sImplIf2,sImplIf2
deplore,dIplor,dIpl$R
emit,imIt,ImIt
consolidate,k@nsalIdet,k@nsQlId1t
magnify,m{gnIf2,m{gnIf2
aspire,@sp23,@sp2@R
slump,slVmp,slVmp
facilitate,f@sIl@tet,f@sIlIt1t
sprout,spr6t,spr6t
doze,doz,d5z
blast,bl{st,bl#st
button,bVt@n,bVtH
confide,k@nf2d,k@nf2d
lurch,l3J,l3J
rank,r{Nk,r{Nk
slaughter,slQt3,sl$t@R
fashion,f{S@n,f{SH
thin,TIn,TIn
trip,trIp,trIp
station,steS@n,st1SH
alternate,Qlt3net,$lt@n1t
generalize,_En@r@l2z,_En@r@l2z
reign,ren,r1n
scoop,skup,skup
squint,skwInt,skwInt
manifest,m{nIfEst,m{nIfEst
revolve,rIvalv,rIvQlv
duck,dVk,dVk
gear,gir,g7R
flip,flIp,flIp
cock,kak,kQk
usher,VS3,VS@R
whisk,wIsk,wIsk
wield,wild,wild
cash,k{S,k{S
scribble,skrIb@l,skrIbP
gape,gep,g1p
thump,TVmp,TVmp
bubble,bVb@l,bVbP
relish,rElIS,rElIS
fiddle,fId@l,fIdP
notify,notIf2,n5tIf2
plug,plVg,plVg
effect,IfEkt,IfEkt
man,m{n,m{n
wring,rIN,rIN
hush,hVS,hVS
smother,smVD3,smVD@R
recur,rIk3,rIk3R
compute,k@mpjut,k@mpjut
visualize,vIZu@l2z,vIZ9l2z
manoeuvre,m@nuv3,m@nuv@R
perish,perIS,pErIS
refrain,rIfren,rIfr1n
snarl,snarl,sn#l
faint,fent,f1nt
limp,lImp,lImp
clatter,kl{t3,kl{t@R
embroider,Imbr4d3,Imbr4d@R
rally,r{li,r{lI
whine,w2n,w2n
glide,gl2d,gl2d
shimmer,SIm3,SIm@R
discriminate,dIskrImInet,dIskrImIn1t
steady,stEdi,stEdI
caress,k@rEs,k@rEs
cluster,klVst3,klVst@R
labour,leb3,l1b@R
coat,kot,k5t
farm,farm,f#m
banish,b{nIS,b{nIS
chuckle,JVk@l,JVkP
crown,kr6n,kr6n
ski,ski,NA
dot,dat,dQt
assimilate,@sIm@let,@sImIl1t
bat,b{t,b{t
engulf,IngVlf,IngVlf
slash,sl{S,sl{S
wean,win,win
bug,bVg,bVg
incur,Ink3,Ink3R
harness,harnIs,h#nIs
credit,krEdIt,krEdIt
nail,nel,n1l
shield,Sild,Sild
endow,Ind6,Ind6
smear,smir,sm7R
dispute,dIspjut,dIspjut
lengthen,lENT@n,lENT@n
contrive,k@ntr2v,k@ntr2v
stray,stre,str1
wrench,rEnJ,rEnJ
cycle,s2k@l,s2kP
inject,In_Ekt,In_Ekt
corrupt,k@rVpt,k@rVpt
dawn,dQn,d$n
bolt,bolt,b5lt
mourn,morn,m$n
prod,prad,prQd
waver,wev3,w1v@R
broaden,brQd@n,br$dH
sketch,skEJ,skEJ
sneak,snik,snik
fuss,fVs,fVs
bath,b{T,b#T
eye,2,2
growl,gr6l,gr6l
fan,f{n,f{n
glimpse,glImps,glImps
heighten,h2t@n,h2tH
nurture,n3J3,n3J@R
panic,p{nIk,p{nIk
shade,Sed,S1d
hypnotize,hIpn@t2z,hIpn@t2z
differentiate,dI3EnJiet,dIf@rEnSI1t
affiliate,@fIliet,@fIlI1t
materialize,m@tiri@l2z,m@t7r7l2z
stone,ston,st5n
succumb,s@kVm,s@kVm
hack,h{k,h{k
thunder,TVnd3,TVnd@R
smack,sm{k,sm{k
bound,b6nd,b6nd
brew,bru,bru
grease,gris,griz
prosper,prasp3,prQsp@R
brace,bres,br1s
rival,r2v@l,r2vP
bar,bar,b#R
chain,Jen,J1n
channel,J{n@l,J{nP
erupt,irVpt,IrVpt
stiffen,stIf@n,stIfH
court,kort,k$t
radiate,rediet,r1dI1t
weld,wEld,wEld
draft,dr{ft,dr#ft
rejoice,rI_4s,rI_4s
deem,dim,dim
claw,klQ,kl$
converge,k@nv3_,k@nv3_
field,fild,fild
phase,fez,f1z
insulate,Ins@let,InsjUl1t
grill,grIl,grIl
strap,str{p,str{p
astound,@st6nd,@st6nd
mill,mIl,mIl
strew,stru,stru
coach,koJ,k5J
sling,slIN,slIN
surge,s3_,s3_
price,pr2s,pr2s
bottle,bat@l,bQtP
mop,map,mQp
swap,swap,swQp
bustle,bVs@l,bVsP
rake,rek,r1k
smuggle,smVg@l,smVgP
yearn,j3n,j3n
perpetuate,p3pEJuet,p@pEJU1t
afflict,@flIkt,@flIkt
escalate,Esk@let,Esk@l1t
chip,JIp,JIp
border,bord3,b$d@R
tour,tur,t9R
wince,wIns,wIns
arm,arm,#m
flop,flap,flQp
heap,hip,hip
muster,mVst3,mVst@R
populate,papjUlet,pQpjUl1t
shower,S63,S6@R
swoop,swup,swup
peck,pEk,pEk
counsel,k6ns@l,k6nsP
bypass,b2p{s,b2p#s
loathe,loD,l5D
near,nir,n7R
detach,dIt{J,dIt{J
pledge,plE_,plE_
ripple,rIp@l,rIpP
tax,t{ks,t{ks
blot,blat,blQt
bank,b{Nk,b{Nk
deduce,dIdus,dIdjus
crackle,kr{k@l,kr{kP
adhere,{dhir,@dh7R
falter,fQlt3,f$lt@R
hobble,hab@l,hQbP
scowl,sk6l,sk6l
sympathize,sImp@T2z,sImp@T2z
topple,tap@l,tQpP
allot,@lat,@lQt
cloud,kl6d,kl6d
drum,drVm,drVm
elevate,ElIvet,ElIv1t
string,strIN,strIN
throb,Trab,TrQb
fine,f2n,f2n
activate,{kt@vet,{ktIv1t
incline,Inkl2n,Inkl2n
renounce,rIn6ns,rIn6ns
glaze,glez,gl1z
reel,ril,ril
bewitch,bIwIJ,bIwIJ
colonize,kal@n2z,kQl@n2z
contaminate,k@nt{mInet,k@nt{mIn1t
intimidate,IntImIdet,IntImId1t
nominate,namInet,nQmIn1t
screech,skriJ,skriJ
slither,slID3,slID@R
term,t3m,t3m
nudge,nV_,nV_
content,k@ntEnt,k@ntEnt
endeavour,IndEv3,IndEv@R
curb,k3b,k3b
flank,fl{Nk,fl{Nk
fuck,fVk,fVk
lure,lur,l9R
scold,skold,sk5ld
disgust,dIsgVst,dIsgVst
woo,wu,wu
knot,nat,nQt
mask,m{sk,m#sk
perfect,p3fEkt,p@fEkt
pool,pul,pul
star,star,st#R
flinch,flInJ,flInJ
fortify,fortIf2,f$tIf2
group,grup,grup
patronize,petr@n2z,p{tr@n2z
tin,tIn,tIn
wobble,wab@l,wQbP
collide,k@l2d,k@l2d
pattern,p{t3n,p{t@n
bribe,br2b,br2b
inhale,Inhel,Inh1l
intercept,Int3sEpt,Int@sEpt
muddle,mVd@l,mVdP
savour,sev3,s1v@R
starch,starJ,st#J
impoverish,Impav@rIS,ImpQv@rIS
flex,flEks,flEks
fuse,fjuz,fjuz
bellow,bElo,bEl5
nibble,nIb@l,nIbP
picture,pIkJ3,pIkJ@R
retaliate,rIt{liet,rIt{lI1t
clutter,klVt3,klVt@R
hatch,h{J,h{J
hitch,hIJ,hIJ
coil,k4l,k4l
dispel,dIspEl,dIspEl
model,mad@l,mQdP
jostle,_as@l,_QsP
refresh,rIfrES,rIfrES
ally,@l2,@l2
bristle,brIs@l,brIsP
detain,dIten,dIt1n
gulp,gVlp,gVlp
pry,pr2,pr2
thwart,Twort,Tw$t
intrude,Intrud,Intrud
modernize,mad3n2z,mQd@n2z
anchor,{Nk3,{Nk@R
consent,k@nsEnt,k@nsEnt
crave,krev,kr1v
loll,lal,lQl
spawn,spQn,sp$n
totter,tat3,tQt@R
churn,J3n,J3n
exhilarate,IgzIl@ret,IgzIl@r1t
hamper,h{mp3,h{mp@R
squirm,skw3m,skw3m
engrave,Ingrev,Ingr1v
fret,frEt,frEt
prowl,pr6l,pr6l
ruffle,rVf@l,rVfP
bias,b2@s,b2@s
spy,sp2,sp2
terminate,t3mInet,t3mIn1t
coax,koks,k5ks
sneer,snir,sn7R
staff,st{f,st#f
burke,b3k,NA
stoke,stok,st5k
suffocate,sVf@ket,sVf@k1t
thatch,T{J,T{J
conflict,k@nflIkt,k@nflIkt
brighten,br2t@n,br2tH
scurry,sk3i,skVrI
chuck,JVk,JVk
rate,ret,r1t
squash,skwQS,skwQS
hinder,hInd3,hInd@R
refute,rIfjut,rIfjut
simulate,sImjUlet,sImjUl1t
time,t2m,t2m
grieve,griv,griv
groom,grum,grum
prick,prIk,prIk
seethe,siD,siD
skirt,sk3t,sk3t
snort,snort,sn$t
wane,wen,w1n
invert,Inv3t,Inv3t
wall,wQl,w$l
mar,mar,m#R
clip,klIp,klIp
brief,brif,brif
marvel,marv@l,m#vP
munch,mVnJ,mVnJ
seep,sip,sip
bid,bId,bId
clash,kl{S,kl{S
finger,fINg3,fINg@R
gratify,gr{tIf2,gr{tIf2
poach,poJ,p5J
style,st2l,st2l
tan,t{n,t{n
whimper,wImp3,wImp@R
equate,Ikwet,Ikw1t
fuel,fju@l,fj9l
lunch,lVnJ,lVnJ
dodge,da_,dQ_
exemplify,IgzEmpl@f2,IgzEmplIf2
immerse,Im3s,Im3s
iron,23n,2@n
mow,mo,m5
discern,dIs3n,dIs3n
fatten,f{t@n,f{tH
putt,pVt,pVt
scour,sk63,sk6@R
envelop,InvEl@p,InvEl@p
bundle,bVnd@l,bVndP
grate,gret,gr1t
halve,h{v,h#v
mash,m{S,m{S
pounce,p6ns,p6ns
scent,sEnt,sEnt
ship,SIp,SIp
tower,t63,t6@R
dissipate,dIsIpet,dIsIp1t
plaster,pl{st3,pl#st@R
defer,dIf3,dIf3R
mimic,mImIk,mImIk
alleviate,@liviet,@livI1t
fluctuate,flVkJuet,flVkJU1t
deflect,dIflEkt,dIflEkt
glint,glInt,glInt
jog,_ag,_Qg
lace,les,l1s
preclude,prIklud,prIklud
trudge,trV_,trV_
code,kod,k5d
fake,fek,f1k
stabilize,steb@l2z,st1b@l2z
wax,w{ks,w{ks
dab,d{b,d{b
fragment,fr{gmEnt,fr{gmEnt
patch,p{J,p{J
rationalize,r{S@n@l2z,r{SH@l2z
relinquish,rIlINkwIS,rIlINkwIS
weather,wED3,wED@R
weed,wid,wid
donate,donet,d5n1t
ordain,orden,$d1n
impede,Impid,Impid
excavate,Eksk@vet,Eksk@v1t
wet,wEt,wEt
bare,ber,b8R
gild,gIld,gIld
herd,h3d,h3d
motion,moS@n,m5SH
tame,tem,t1m
thread,TrEd,TrEd
wire,w23,w2@R
erase,ires,Ir1z
stylize,st2l2z,st2l2z
quarter,kwort3,kw$t@R
root,rut,rut
repel,rIpEl,rIpEl
clamp,kl{mp,kl{mp
crease,kris,kris
document,dakjUmEnt,dQkjUmEnt
exasperate,Igz{sp@ret,Igz{sp@r1t
gnaw,nQ,n$
rumble,rVmb@l,rVmbP
rustle,rVs@l,rVsP
slay,sle,sl1
squeal,skwil,skwil
streak,strik,strik
vow,v6,v6
infer,Inf3,Inf3R
emulate,Emj@let,EmjUl1t
reap,rip,rip
temper,tEmp3,tEmp@R
lighten,l2t@n,l2tH
patrol,p@trol,p@tr5l
deafen,dEf@n,dEfH
elude,Ilud,Ilud
lumber,lVmb3,lVmb@R
shroud,Sr6d,Sr6d
sparkle,spark@l,sp#kP
tailor,tel3,t1l@R
fertilize,f3t@l2z,f3t@l2z
treasure,trEZ3,trEZ@R
grapple,gr{p@l,gr{pP
stitch,stIJ,stIJ
tickle,tIk@l,tIkP
aggravate,{gr@vet,{gr@v1t
expire,Iksp23,Iksp2@R
parade,p@red,p@r1d
plague,pleg,pl1g
ration,r{S@n,r{SH
tail,tel,t1l
wage,we_,w1_
dog,dag,dQg
pervade,p3ved,p@v1d
flavour,flev3,fl1v@R
drench,drEnJ,drEnJ
purge,p3_,p3_
shelve,SElv,SElv
shrivel,SrIv@l,SrIvP
buckle,bVk@l,bVkP
elicit,ilIsIt,IlIsIt
adorn,@dorn,@d$n
cleave,kliv,kliv
itch,IJ,IJ
rap,r{p,r{p
tense,tEns,tEns
bawl,bQl,b$l
bleach,bliJ,bliJ
charm,Jarm,J#m
hoist,h4st,h4st
precipitate,pr@sIpItet,prIsIpIt1t
amplify,{mplIf2,{mplIf2
lapse,l{ps,l{ps
snow,sno,sn5
conspire,k@nsp23,k@nsp2@R
propel,pr@pEl,pr@pEl
squeak,skwik,skwik
stew,stu,stju
swamp,swamp,swQmp
converse,k@nv3s,k@nv3s
duplicate,duplIket,djuplIk1t
lord,lord,NA
riot,r2@t,r2@t
lobby,labi,lQbI
standardize,st{nd3d2z,st{nd@d2z
interrogate,Inter@get,IntEr5g1t
pipe,p2p,p2p
twinkle,twINk@l,twINkP
expend,IkspEnd,IkspEnd
necessitate,n@sEsItet,nIsEsIt1t
scar,skar,sk#R
site,s2t,s2t
swerve,sw3v,sw3v
subtract,s@btr{kt,s@btr{kt
nip,nIp,nIp
ascertain,{s3ten,{s@t1n
infuriate,Infjuriet,Infj9rI1t
commence,k@mEns,k@mEns
baptize,b{pt2z,b{pt2z
christen,krIs@n,krIsH
clog,klag,klQg
crunch,krVnJ,krVnJ
rig,rIg,rIg
stall,stQl,st$l
stink,stINk,stINk
shear,Sir,S7R
institutionalize,InstItuS@n@l2z,InstItjuS@nP2z
deplete,dIplit,dIplit
chair,Jer,J8R
crystallize,krIst@l2z,krIst@l2z
scorn,skorn,sk$n
accentuate,{ksEnJuet,{ksEntjU1t
condense,k@ndEns,k@ndEns
cup,kVp,kVp
decree,dIkri,dIkri
hump,hVmp,hVmp
jab,_{b,_{b
paddle,p{d@l,p{dP
salt,sQlt,s$lt
shell,SEl,SEl
sift,sIft,sIft
domesticate,d@mEstIket,d5mEstIk1t
insure,InSur,InS$R
daunt,dQnt,d$nt
despair,dIsper,dIsp8R
lap,l{p,l{p
babble,b{b@l,b{bP
cream,krim,krim
ply,pl2,pl2
retort,rItort,rIt$t
sulk,sVlk,sVlk
vault,vQlt,v$lt
grimace,grIm@s,grIm1s
bask,b{sk,b#sk
wag,w{g,w{g
anoint,@n4nt,@n4nt
exacerbate,Igz{s3bet,Igz{s@b1t
oil,4l,4l
punctuate,pVNkJuet,pVNkJU1t
recline,rIkl2n,rIkl2n
scrutinize,skrutIn2z,skrutIn2z
snore,snor,sn$R
dramatize,dr{m@t2z,dr{m@t2z
mutilate,mjutIlet,mjutIl1t
jeopardize,_Ep3d2z,_Ep@d2z
revolutionize,rEv@luS@n2z,rEv@luSH2z
ooze,uz,uz
condone,k@ndon,k@nd5n
feign,fen,f1n
fondle,fand@l,fQndP
mine,m2n,m2n
proffer,praf3,prQf@R
saunter,sQnt3,s$nt@R
verify,verIf2,vErIf2
vie,v2,v2
worsen,w3s@n,w3sH
bash,b{S,b{S
taper,tep3,t1p@R
scuttle,skVt@l,skVtP
herald,her@ld,hEr@ld
augment,QgmEnt,$gmEnt
blunder,blVnd3,blVnd@R
conjure,kan_3,kVn_@R
devastate,dEv@stet,dEv@st1t
fringe,frIn_,frIn_
jeer,_ir,_7R
neutralize,nutr@l2z,njutr@l2z
petrify,pEtrIf2,pEtrIf2
prize,pr2z,pr2z
revere,rIvir,rIv7R
riddle,rId@l,rIdP
spiral,sp2r@l,sp2@r@l
swivel,swIv@l,swIvP
tow,to,t5
queue,kju,kju
charter,Jart3,J#t@R
gauge,ge_,g1_
smoulder,smold3,sm5ld@R
obstruct,@bstrVkt,@bstrVkt
enrol,Inrol,Inr5l
flake,flek,fl1k
flirt,fl3t,fl3t
improvise,Impr@v2z,Impr@v2z
mass,m{s,m{s
mince,mIns,mIns
piss,pIs,pIs
tattoo,t{tu,t@tu
whoop,wup,wup
mail,mel,m1l
loot,lut,lut
power,p63,p6@R
span,sp{n,sp{n
harbour,harb3,h#b@R
rack,r{k,r{k
unleash,VnliS,VnliS
cradle,kred@l,kr1dP
cuddle,kVd@l,kVdP
feast,fist,fist
hustle,hVs@l,hVsP
toast,tost,t5st
hike,h2k,h2k
space,spes,sp1s
humour,hjum3,hjum@R
map,m{p,m{p
peep,pip,pip
bloom,blum,blum
entice,Int2s,Int2s
profess,pr@fEs,pr@fEs
assassinate,@s{sInet,@s{sIn1t
holler,hal3,hQl@R
purse,p3s,p3s
reproach,rIproJ,rIpr5J
saddle,s{d@l,s{dP
scrap,skr{p,skr{p
tape,tep,t1p
class,kl{s,kl#s
censor,sEns3,sEns@R
memorize,mEm@r2z,mEm@r2z
plod,plad,plQd
bridge,brI_,brI_
dribble,drIb@l,drIbP
merit,merIt,mErIt
scale,skel,sk1l
articulate,artIkjUlet,#tIkjUl1t
complement,kamplImEnt,kQmplImEnt
diet,d2@t,NA
gamble,g{mb@l,g{mbP
gobble,gab@l,gQbP
persecute,p3sIkjut,p3sIkjut
shred,SrEd,SrEd
stunt,stVnt,stVnt
tag,t{g,t{g
tether,tED3,tED@R
cap,k{p,k{p
sanction,s{NkS@n,s{NkSH
leach,liJ,liJ
crucify,krusIf2,krusIf2
lag,l{g,l{g
parallel,per@lEl,p{r@lEl
lounge,l6n_,l6n_
rumple,rVmp@l,rVmpP
saw,sQ,s$
spur,sp3,sp3R
spark,spark,sp#k
brown,br6n,br6n
exhort,Igzort,Igz$t
sin,sIn,sIn
bugger,bVg3,bVg@R
deduct,dIdVkt,dIdVkt
engender,In_End3,In_End@R
exile,Eks2l,Eks2l
gut,gVt,gVt
numb,nVm,nVm
scorch,skorJ,sk$J
foot,fUt,fUt
socialize,soS@l2z,s5S@l2z
emancipate,Im{nsIpet,Im{nsIp1t
well,wEl,wEl
capitalize,k{pIt@l2z,k{pIt@l2z
eject,I_Ekt,I_Ekt
evacuate,Iv{kjuet,Iv{kjU1t
glower,gl63,gl6@R
implore,Implor,Impl$R
loop,lup,lup
meditate,mEdItet,mEdIt1t
persevere,p3sIvir,p3sIv7R
ridicule,rIdIkjul,rIdIkjul
shadow,S{do,S{d5
slit,slIt,slIt
splinter,splInt3,splInt@R
supersede,sup3sid,sup@sid
tile,t2l,t2l
transpire,tr{nsp23,tr{nsp2@R
sadden,s{d@n,s{dH
skid,skId,skId
jumble,_Vmb@l,_VmbP
inflate,Inflet,Infl1t
prey,pre,pr1
belch,bElJ,bElJ
buck,bVk,bVk
bunch,bVnJ,bVnJ
clamour,kl{m3,kl{m@R
cleanse,klEnz,klEnz
drug,drVg,drVg
lunge,lVn_,lVn_
muse,mjuz,mjuz
phrase,frez,fr1z
purr,p3,p3R
ram,r{m,r{m
stud,stVd,stVd
triumph,tr2@mf,tr2@mf
hedge,hE_,hE_
brake,brek,br1k
scoff,skQf,skQf
delude,dIlud,dIlud
dub,dVb,dVb
exude,Igzud,Igzjud
pickle,pIk@l,pIkP
relegate,rElIget,rElIg1t
smite,sm2t,sm2t
sneeze,sniz,sniz
toil,t4l,t4l
total,tot@l,t5tP
twirl,tw3l,tw3l
computerize,k@mpjut32z,k@mpjut@r2z
con,kan,kQn
angle,{Ng@l,{NgP
cement,sImEnt,sImEnt
sample,s{mp@l,s#mpP
warp,worp,w$p
ground,gr6nd,gr6nd
pout,p6t,p6t
squander,skwand3,skwQnd@R
bed,bEd,bEd
commemorate,k@mEm@ret,k@mEm@r1t
extinguish,IkstINgwIS,IkstINgwIS
flag,fl{g,fl{g
mirror,mir3,mIr@R
nestle,nEs@l,nEsP
pit,pIt,pIt
query,kwiri,kw7rI
rebuke,rIbjuk,rIbjuk
row,ro,r5
secrete,sIkrit,sIkrit
shun,SVn,SVn
skin,skIn,skIn
subdue,s@bdu,s@bdju
tingle,tINg@l,tINgP
veer,vir,v7R
teethe,tiD,NA
cable,keb@l,k1bP
corner,korn3,k$n@R
revolt,rIvolt,rIv5lt
blossom,blas@m,blQs@m
burden,b3d@n,b3dH
bust,bVst,bVst
busy,bIzi,bIzI
clang,kl{N,kl{N
coin,k4n,k4n
dim,dIm,dIm
divine,dIv2n,dIv2n
eradicate,Ir{d@ket,Ir{dIk1t
flit,flIt,flIt
hoot,hut,hut
ice,2s,2s
impel,ImpEl,ImpEl
implicate,ImplIket,ImplIk1t
jolt,_olt,_5lt
meddle,mEd@l,mEdP
outlaw,6tlQ,6tl$
parch,parJ,p#J
squirt,skw3t,skw3t
stammer,st{m3,st{m@R
stow,sto,st5
tinkle,tINk@l,tINkP
forfeit,forfIt,f$fIt
mechanize,mEk@n2z,mEk@n2z
strut,strVt,strVt
flock,flak,flQk
orient,ori@nt,$r7nt
chime,J2m,J2m
confiscate,kanfIsket,kQnfIsk1t
contort,k@ntort,k@nt$t
emigrate,EmIgret,EmIgr1t
entrance,Intr{ns,Intr#ns
excel,IksEl,IksEl
jail,_el,_1l
lament,l@mEnt,l@mEnt
moor,mor,m$R
pedal,pEd@l,pEdP
penalize,pin@l2z,pin@l2z
garden,gard@n,NA
retract,rItr{kt,rItr{kt
flounder,fl6nd3,fl6nd@R
thaw,TQ,T$
besiege,bIsi_,bIsi_
browse,br6z,br6z
crow,kro,kr5
fracture,fr{kJ3,fr{kJ@R
gag,g{g,g{g
gurgle,g3g@l,g3gP
gush,gVS,gVS
idealize,2di@l2z,2d7l2z
indict,Ind2t,Ind2t
mediate,midiet,midI1t
placate,pleket,pl@k1t
purify,pjUrIf2,pj9rIf2
traverse,tr@v3s,tr{v@s
wilt,wIlt,wIlt
pity,pIti,pItI
nauseate,nQziet,n$sI1t
picket,pIkIt,pIkIt
rust,rVst,rVst
branch,br{nJ,br#nJ
distil,dIstIl,dIstIl
etch,EJ,EJ
foul,f6l,f6l
maul,mQl,m$l
mystify,mIstIf2,mIstIf2
permeate,p3miet,p3mI1t
remedy,rEm@di,rEm@dI
scrabble,skr{b@l,skr{bP
spoon,spun,spun
urinate,jurInet,j9rIn1t
motor,mot3,m5t@R
brand,br{nd,br{nd
clot,klat,klQt
tramp,tr{mp,tr{mp
trundle,trVnd@l,trVndP
bail,bel,b1l
cart,kart,k#t
glue,glu,glu
hinge,hIn_,hIn_
knead,nid,nid
repudiate,rIpjudiet,rIpjudI1t
shoulder,Sold3,S5ld@R
troop,trup,trup
err,er,3R
instil,InstIl,InstIl
golf,galf,NA
scamper,sk{mp3,sk{mp@R
appropriate,@propriet,@pr5prI1t
fare,fer,f8R
ferment,f3mEnt,f@mEnt
fray,fre,fr1
intersperse,Int3sp3s,Int@sp3s
low,lo,l5
peg,pEg,pEg
size,s2z,s2z
bolster,bolst3,b5lst@R
boycott,b4kat,b4kQt
loiter,l4t3,l4t@R
lull,lVl,lVl
straddle,str{d@l,str{dP
undulate,Vn_ulet,VndjUl1t
braid,bred,br1d
damp,d{mp,d{mp
flaunt,flQnt,fl$nt
mother,mVD3,mVD@R
pair,per,p8R
pervert,p3v3t,p@v3t
pocket,pakIt,pQkIt
rumour,rum3,rum@R
sight,s2t,s2t
slant,sl{nt,sl#nt
slop,slap,slQp
spatter,sp{t3,sp{t@R
terrorize,ter@r2z,tEr@r2z
cull,kVl,kVl
polarize,pol@r2z,p5l@r2z
localize,lok@l2z,l5k@l2z
thresh,TrES,TrES
tinge,tIn_,tIn_
